Ano,Taxa_Cambio_Libra
1809,72.0
1810,73.25
1811,72.0
1812,74.0
1813,77.75
1814,86.0
1815,74.25
1816,62.75
1817,64.5
1818,71.5
1819,66.0
1820,57.0
1821,51.5
1822,49.25
1823,50.75
1824,45.25
1825,51.875
1826,48.125
1827,35.25
1828,31.063
1829,24.615
1830,22.813
1831,25.0
1832,38.125
1833,37.373
1834,38.25
1835,39.25
1836,38.438
1837,29.563
1838,28.063
1839,31.625
1840,31.0
1841,30.313
1842,26.813
1843,25.813
1844,25.188
1845,25.438
1846,26.938
1847,28.0
1848,25.0
1849,25.875
1850,28.75
1851,29.125
1852,27.438
1853,28.5
1854,27.625
1855,27.563
1856,27.563
1857,26.625
1858,25.563
1859,25.063
1860,25.813
1861,25.563
1862,25.313
1863,27.25
1864,26.75
1865,25.0
1866,24.25
1867,22.438
1868,17.0
1869,18.813
1870,22.063
1871,24.031
1872,25.0
1873,26.094
1874,25.781
1875,27.219
1876,25.344
1877,24.563
1878,22.938
1879,21.375
1880,22.094
1881,21.906
1882,21.156
1883,21.563
1884,20.688
1885,18.594
1886,18.688
1887,22.438
1888,25.25
1889,26.438
1890,22.563
1891,14.906
1892,12.031
1893,11.594
1894,10.094
1895,9.938
1896,9.063
1897,7.719
1898,7.188
1899,7.438
1900,9.5
1901,11.375
1902,11.969
1903,12.0
1904,12.219
1905,15.679
1906,16.188
1907,15.219
1908,15.156
1909,15.156
1910,16.234
