Ano,N_Venda,Preco_Venda,N_Aluguel,Aluguel_Mensal,Yield
1835,57.0,627.0,2.0,18.8,0.3598086124401914
1837,55.0,616.5,3.0,19.4,0.3776155717761557
1839,51.0,551.5,,,
1841,40.0,700.0,4.0,11.6,0.19885714285714284
1844,40.0,716.9,3.0,14.1,0.23601618077835124
1845,35.0,683.4,9.0,12.4,0.21773485513608432
1847,55.0,646.2,12.0,10.1,0.1875580315691736
1849,60.0,614.9,18.0,13.5,0.26345747275979836
1850,16.0,589.3,108.0,12.3,0.2504666553538097
1851,80.0,780.2,108.0,13.0,0.19994873109459113
1852,72.0,1139.6,122.0,16.6,0.17479817479817483
1853,69.0,1250.4,110.0,15.5,0.14875239923224567
1854,43.0,973.5,137.0,15.5,0.19106317411402157
1855,62.0,1111.1,117.0,14.2,0.15336153361533614
1856,80.0,1126.8,109.0,14.6,0.15548455804046857
1857,66.0,1290.3,109.0,16.5,0.1534526854219949
1858,73.0,1470.6,117.0,16.3,0.13300693594451246
1859,78.0,1387.2,96.0,17.4,0.1505190311418685
1860,111.0,1288.3,70.0,16.7,0.15555383062951175
1861,92.0,1185.0,97.0,17.9,0.1812658227848101
1862,81.0,1266.9,77.0,18.0,0.17049490883258345
1863,116.0,1100.2,85.0,15.9,0.17342301399745502
1864,126.0,1227.0,63.0,15.6,0.15256723716381418
1865,97.0,1035.3,86.0,15.2,0.17618081715444797
1866,82.0,894.6,80.0,14.9,0.19986586183769284
1867,66.0,838.1,88.0,14.2,0.20331702660780332
1868,113.0,910.5,65.0,13.8,0.18187808896210875
1869,103.0,958.4,52.0,13.7,0.17153589315525875
1870,177.0,1007.9,130.0,14.6,0.17382676852862386
1871,99.0,816.6,42.0,14.1,0.20720058780308595
1872,254.0,860.9,46.0,13.2,0.18399349517946334
1873,297.0,977.7,102.0,16.9,0.20742559067198524
1874,105.0,961.4,117.0,17.8,0.22217599334304142
1875,184.0,1032.4,102.0,17.5,0.20340953118946142
1876,111.0,1016.6,99.0,16.4,0.1935864646862089
1877,124.0,1070.0,85.0,15.7,0.17607476635514016
1878,83.0,900.9,89.0,15.6,0.20779220779220778
1879,154.0,986.7,89.0,14.7,0.17877774399513527
1880,73.0,840.3,82.0,14.8,0.2113530881827919
1881,45.0,850.6,172.0,13.4,0.18904302845050552
1882,42.0,555.2,189.0,13.5,0.2917867435158501
1883,10.0,495.0,235.0,13.3,0.32242424242424245
1884,16.0,536.6,242.0,13.3,0.29742825195676487
1885,6.0,746.7,237.0,13.7,0.2201687424668541
1886,2.0,311.3,235.0,13.9,0.5358175393511083
1887,6.0,439.9,229.0,14.8,0.403728120027279
1888,,,99.0,15.2,
